,Year,Country,Region,Continent,Latitude,Longitude,CPI,total_affected,cluster_labels
251,1998,5,1,0,-8.193999999999999,112.413,63.760455237399505,501.0,1.0
255,1999,5,1,0,-6.845,105.555,65.15554686152831,16925.0,2.0
257,1999,4,2,0,30.512,79.403,65.15554686152831,477994.0,1.0
259,2000,5,1,0,-4.646,102.102,67.355758979313,204817.0,1.0
260,2000,5,1,0,-1.105,123.573,67.355758979313,52815.0,1.0
265,2000,5,1,0,-6.675,106.845,67.355758979313,4124.0,2.0
266,2000,5,1,0,-6.549,105.63,67.355758979313,5500.0,2.0
267,2000,5,1,0,-4.612,101.905,67.355758979313,3001.0,2.0
269,2001,4,2,0,23.419,70.232,69.259339950271,6341817.0,2.0
270,1998,9,2,0,36.479,71.086,63.760455237399505,612.0,2.0
272,2001,9,2,0,23.419,70.232,69.259339950271,914304.0,1.0
273,2001,0,2,0,36.424,70.881,69.259339950271,0.0,1.0
274,2001,0,2,0,35.169000000000004,69.389,69.259339950271,274.0,1.0
275,2002,0,2,0,36.429,70.438,70.3578189693375,3663.0,2.0
276,2002,0,2,0,36.062,69.315,70.3578189693375,92228.0,2.0
277,2002,0,2,0,35.959,69.417,70.3578189693375,6200.0,1.0
278,2001,3,0,0,24.768,99.061,69.259339950271,150192.0,1.0
279,2001,3,0,0,27.689,101.003,69.259339950271,10607.0,1.0
280,2001,3,0,0,24.455,102.66,69.259339950271,25000.0,1.0
281,2001,3,0,0,26.316,100.648,69.259339950271,17221.0,1.0
291,2001,5,1,0,-6.99,108.275,69.259339950271,12512.0,2.0
292,2001,5,1,0,-4.68,102.562,69.259339950271,0.0,1.0
295,2002,4,2,0,13.036,93.068,70.3578189693375,202.0,2.0
296,2002,3,0,0,30.916,99.927,70.3578189693375,378.0,2.0
297,2002,3,0,0,39.736,97.443,70.3578189693375,65502.0,2.0
301,2002,5,1,0,-1.196,121.333,70.3578189693375,2548.0,1.0
302,2002,5,1,0,-1.68,134.234,70.3578189693375,155.0,2.0
303,2002,5,1,0,2.824,96.085,70.3578189693375,63.0,2.0
305,2003,3,0,0,39.61,77.23,71.9550065545137,517268.0,1.0
306,2003,5,1,0,-8.807,118.524,71.9550065545137,2502.0,2.0
307,2002,9,2,0,35.517,74.654,70.3578189693375,15082.0,2.0
308,2002,9,2,0,35.414,74.515,70.3578189693375,140801.0,2.0
309,2002,9,2,0,36.429,70.438,70.3578189693375,3.0,2.0
310,2003,0,2,0,35.893,70.62,71.9550065545137,1002.0,2.0
311,2004,0,2,0,33.426,69.524,73.88141243744471,1042.0,2.0
314,2003,1,2,0,22.854,92.306,71.9550065545137,2527.0,1.0
315,2003,3,0,0,25.975,101.29,71.9550065545137,1295600.0,2.0
316,2003,3,0,0,37.529,96.476,71.9550065545137,3300.0,2.0
317,2003,3,0,0,39.43,77.219,71.9550065545137,8004.0,1.0
318,2003,3,0,0,43.77,119.643,71.9550065545137,455504.0,2.0
319,2003,3,0,0,25.954,101.254,71.9550065545137,60059.0,2.0
320,2003,3,0,0,38.383,100.975,71.9550065545137,275052.0,2.0
321,2003,3,0,0,34.712,103.834,71.9550065545137,23370.0,2.0
322,2003,3,0,0,27.372,103.971,71.9550065545137,493069.0,2.0
323,2003,3,0,0,42.905,80.515,71.9550065545137,6029.0,2.0
324,2003,3,0,0,27.283,103.753,71.9550065545137,10004.0,2.0
326,2003,5,1,0,2.354,128.855,71.9550065545137,248.0,1.0
327,2003,5,1,0,1.142,128.15200000000002,71.9550065545137,500.0,1.0
331,2004,5,1,0,-3.615,135.53799999999998,73.88141243744471,14109.0,1.0
332,2004,5,1,0,-3.609,135.404,73.88141243744471,12865.0,2.0
333,2004,5,1,0,-8.152000000000001,124.868,73.88141243744471,83414.0,2.0
335,2004,3,0,0,45.382,118.256,73.88141243744471,190100.0,2.0
336,2004,3,0,0,27.266,103.873,73.88141243744471,120604.0,2.0
337,2004,3,0,0,25.073,99.169,73.88141243744471,100012.0,2.0
338,2004,3,0,0,34.681999999999995,103.781,73.88141243744471,22019.0,2.0
339,2004,3,0,0,37.506,96.758,73.88141243744471,4199.0,2.0
342,2004,5,1,0,-8.31,115.788,73.88141243744471,30041.0,2.0
343,2004,5,1,0,-0.466,100.655,73.88141243744471,512.0,2.0
345,2005,5,1,0,2.085,97.108,76.3880272118934,106228.0,2.0
348,2005,5,1,0,-1.198,119.933,76.3880272118934,685.0,2.0
349,2004,9,2,0,34.774,73.21600000000002,73.88141243744471,13172.0,1.0
350,2005,0,2,0,34.539,73.58800000000002,76.3880272118934,1.0,1.0
351,2005,0,2,0,36.357,71.093,76.3880272118934,506.0,1.0
352,2006,0,2,0,37.255,68.828,78.8522555129301,936.0,1.0
353,2005,4,2,0,34.539,73.58800000000002,76.3880272118934,157931.0,1.0
354,2005,3,0,0,29.671,115.688,76.3880272118934,615516.0,1.0
355,2005,3,0,0,26.569000000000006,103.036,76.3880272118934,18509.0,1.0
360,2006,3,0,0,28.012,104.151,78.8522555129301,45552.0,1.0
361,2006,5,1,0,0.626,99.859,78.8522555129301,1208.0,1.0
363,2006,3,0,0,23.282,101.693,78.8522555129301,68761.0,0.0
364,2006,3,0,0,27.995,104.138,78.8522555129301,265128.0,0.0
365,2006,3,0,0,33.068000000000005,104.95,78.8522555129301,130.0,0.0
366,2006,3,0,0,31.56,113.21,78.8522555129301,20000.0,2.0
367,2006,3,0,0,43.469,119.558,78.8522555129301,12000.0,2.0
369,2006,5,1,0,-7.961,110.446,78.8522555129301,3183701.0,2.0
370,2006,5,1,0,-8.261000000000001,118.753,78.8522555129301,115.0,2.0
374,2007,5,1,0,-0.488,100.53,81.1016589316606,137727.0,2.0
376,2005,9,2,0,34.539,73.58800000000002,76.3880272118934,5201647.0,1.0
378,2007,5,1,0,-4.438,101.367,81.1016589316606,459592.0,1.0
380,2007,3,0,0,23.028,101.052,81.1016589316606,332.0,1.0
384,2007,5,1,0,-7.782999999999999,114.338,81.1016589316606,469.0,1.0
385,2007,5,1,0,-8.292,118.37,81.1016589316606,21803.0,1.0
387,2008,3,0,0,31.002,103.322,84.21522909276999,46064072.0,0.0
388,2008,3,0,0,32.756,105.494,84.21522909276999,13533.0,0.0
389,2008,3,0,0,25.039,97.697,84.21522909276999,166.0,0.0
390,2008,3,0,0,26.241,101.889,84.21522909276999,1000629.0,0.0
391,2008,3,0,0,29.807,90.35,84.21522909276999,784.0,0.0
392,2008,3,0,0,23.97,97.569,84.21522909276999,27169.0,0.0
393,2008,3,0,0,32.56,105.423,84.21522909276999,351008.0,0.0
396,2008,5,1,0,2.768,95.964,84.21522909276999,28.0,0.0
397,2008,5,1,0,-3.935,103.058,84.21522909276999,627.0,0.0
