,Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Region,Continent,Latitude,Longitude,CPI,total_affected
157,1992,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,8.482,121.93,54.8846424128027,94603.0
158,1992,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,7.138,109.067,54.8846424128027,7501.0
163,1992,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,29.3,66.7,54.8846424128027,4.0
164,1992,Natural,Geophysical,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,33.377,71.317,54.8846424128027,2136.0
166,1993,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,16.4,74.2,56.5046456390697,39748.0
167,1993,Natural,Geophysical,Earthquake,Ground movement,India,Southern Asia,Asia,18.12,76.533,56.5046456390697,525.0
169,1993,Natural,Geophysical,Earthquake,Ground movement,Nepal,Southern Asia,Asia,28.723,82.28,56.5046456390697,285.0
170,1994,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,4.967,104.302,57.9779742380726,49606.0
171,1994,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.015,127.733,57.9779742380726,200047.0
176,1994,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,37.0,67.0,57.9779742380726,100490.0
177,1994,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,22.52,118.7,57.9779742380726,501.0
178,1994,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,20.485,109.406,57.9779742380726,5860.0
179,1994,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,36.028,100.104,57.9779742380726,285.0
182,1995,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,21.966,99.196,59.6044948945252,1000147.0
183,1995,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.9,102.2,59.6044948945252,20343.0
184,1995,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,36.443,103.105,59.6044948945252,5074.0
187,1996,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,36.0,65.0,61.3516297283817,3250.0
188,1996,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,25.04,102.41,61.3516297283817,5078104.0
189,1996,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,40.774,109.661,61.3516297283817,200318.0
190,1996,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.28,76.44,61.3516297283817,33154.0
191,1996,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,26.51,100.16,61.3516297283817,137.0
195,1997,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,33.825,59.809,62.7858352045064,5.0
196,1997,Natural,Geophysical,Earthquake,Ground movement,Bangladesh,Southern Asia,Asia,22.212,92.702,62.7858352045064,223.0
197,1997,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.474,76.998,62.7858352045064,155052.0
198,1997,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.3,76.5,62.7858352045064,500098.0
199,1997,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.422,76.839,62.7858352045064,20008.0
200,1997,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,39.527,76.941,62.7858352045064,100098.0
203,1998,Natural,Geophysical,Earthquake,Ground movement,China,Eastern Asia,Asia,41.083,114.5,63.7604552373995,598049.0
204,1998,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,37.106,70.11,63.7604552373995,121635.0
205,1998,Natural,Geophysical,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,37.075,70.089,63.7604552373995,35141.0
207,1994,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,10.2,13.2,57.9779742380726,8959.0
208,1994,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.14,128.5,57.9779742380726,2438.0
209,1994,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.001,135.931,57.9779742380726,67.0
210,1995,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,40.1,21.6,59.6044948945252,191.0
211,1995,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,2.1,101.3,59.6044948945252,90302.0
212,1995,Natural,Geophysical,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,1.02,120.5,59.6044948945252,1538.0
