Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1995-0148-MMR,1995,148,,Natural,Geophysical,Earthquake,Ground movement,,,Myanmar,MMR,South-Eastern Asia,Asia,Shan state,,,,,No,No,,7,Richter,21.966 N,99.196 E,4:47,,1995,7,12,1995,7,12,,,,,,,,,59.60449489,,,,
1996-0002-IDN,1996,2,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,North of Palu (Sulawesi Isl),,Tsunami/Tidal wave,,,,,,7,Richter,0.729,119.931,16:05,,1996,1,1,1996,1,1,9,,,13000,13000,,,1200,61.35162973,,,,
1996-0061-IDN,1996,61,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Biak (Iran Jaya),,Tsunami/Tidal wave,,Yes,,,933,8,Richter,1.1,137.15,14:59,,1996,2,17,1996,2,17,166,423,20125,5090,25638,,,4200,61.35162973,,,,
1996-0053-IND,1996,53,,Technological,Technological,Miscellaneous accident,Collapse,,Apartment block,India,IND,Southern Asia,Asia,Bombay,,,,,No,No,,,,,,,,1996,3,7,1996,3,7,27,,,,,,,,61.35162973,,,,
1996-0144-PAK,1996,144,,Technological,Technological,Miscellaneous accident,Collapse,,Building,Pakistan,PAK,Southern Asia,Asia,Hyderabad,,,,,,,,,,,,,,1996,6,12,1996,6,12,22,25,,,25,,,,61.35162973,,,,
1996-0344-PAK,1996,344,,Technological,Technological,Miscellaneous accident,Collapse,,Building,Pakistan,PAK,Southern Asia,Asia,Toda,,,,,,,,,,,,,,1996,8,15,1996,8,15,33,7,,,7,,,,61.35162973,,,,
1997-0030-PAK,1997,30,,Natural,Geophysical,Earthquake,Ground movement,,,Pakistan,PAK,Southern Asia,Asia,"Harnai (Sibi district, Baluchistan Province)",,"Slide (land, mud, snow, rock)",,,No,Yes,,6,Richter,29.976 N,68.208 E,2:08,,1997,2,28,1997,2,28,50,100,,10000,10100,,,,62.7858352,,,,
1997-0240-IDN,1997,240,,Natural,Geophysical,Earthquake,Ground movement,,,Indonesia,IDN,South-Eastern Asia,Asia,Parepare (city) Level 1 = Sulawesi Selatan,,,,,No,No,,6,Richter,4.00 S,119.40 E,9:38,,1997,9,28,1997,9,28,20,300,2805,,3105,,,1100,62.7858352,,,,
1997-0115-IND,1997,115,,Natural,Geophysical,Earthquake,Ground movement,,,India,IND,Southern Asia,Asia,Jabalpur (Madhya Pradesh),,,,,No,No,,6,Richter,23.083 N,80.041 E,4:22,,1997,5,22,1997,5,22,43,1500,125000,30000,156500,,,37000,62.7858352,,,,
1997-0218-IND,1997,218,,Technological,Technological,Miscellaneous accident,Collapse,,Office building,India,IND,Southern Asia,Asia,Mumbai,,,,,,,,,,,,,,1997,9,16,1997,9,16,13,,,,,,,,62.7858352,,,,
1997-0253-IND,1997,253,,Technological,Technological,Miscellaneous accident,Collapse,,Building,India,IND,Southern Asia,Asia,Mumbai,,,,,,,,,,,,,,1997,10,21,1997,10,21,10,,,,,,,,62.7858352,,,,
1998-0069-IND,1998,69,,Technological,Technological,Miscellaneous accident,Collapse,,Building,India,IND,Southern Asia,Asia,Mumbai,,,,,,,,,,,,,,1998,3,17,1998,3,17,25,,,,,,,,63.76045524,,,,
